record_id,line,product_variant,unit_id,date,defect_found,defect_type
D000286,Line A,Standard,LineA-STA-00286,2026-04-01,FALSE,
D000360,Line A,Standard,LineA-STA-00360,2026-04-01,FALSE,
D000453,Line A,Standard,LineA-STA-00453,2026-04-01,FALSE,
D000493,Line A,Standard,LineA-STA-00493,2026-04-01,FALSE,
D000694,Line A,Standard,LineA-STA-00694,2026-04-01,FALSE,
D000716,Line A,Standard,LineA-STA-00716,2026-04-01,FALSE,
D000851,Line A,Standard,LineA-STA-00851,2026-04-01,FALSE,
D000912,Line A,Standard,LineA-STA-00912,2026-04-01,FALSE,
D001083,Line A,Standard,LineA-STA-01083,2026-04-01,FALSE,
D001277,Line A,Standard,LineA-STA-01277,2026-04-01,FALSE,
D001312,Line A,Standard,LineA-STA-01312,2026-04-01,FALSE,
D001339,Line A,Standard,LineA-STA-01339,2026-04-01,FALSE,
D001541,Line A,Standard,LineA-STA-01541,2026-04-01,FALSE,
D001595,Line A,Standard,LineA-STA-01595,2026-04-01,FALSE,
D001605,Line A,Standard,LineA-STA-01605,2026-04-01,FALSE,
D001836,Line A,Standard,LineA-STA-01836,2026-04-01,FALSE,
D001885,Line A,Standard,LineA-STA-01885,2026-04-01,FALSE,
D001922,Line A,Standard,LineA-STA-01922,2026-04-01,FALSE,
D001991,Line A,Standard,LineA-STA-01991,2026-04-01,FALSE,
D002305,Line A,Pro,LineA-PRO-00055,2026-04-01,FALSE,
D002557,Line A,Pro,LineA-PRO-00307,2026-04-01,FALSE,
D002567,Line A,Pro,LineA-PRO-00317,2026-04-01,FALSE,
D002576,Line A,Pro,LineA-PRO-00326,2026-04-01,FALSE,
D002708,Line A,Pro,LineA-PRO-00458,2026-04-01,FALSE,
D002709,Line A,Pro,LineA-PRO-00459,2026-04-01,FALSE,
D002737,Line A,Pro,LineA-PRO-00487,2026-04-01,FALSE,
D002905,Line A,Pro,LineA-PRO-00655,2026-04-01,FALSE,
D003081,Line A,Pro,LineA-PRO-00831,2026-04-01,FALSE,
D003169,Line A,Pro,LineA-PRO-00919,2026-04-01,TRUE,capacitor_leak
D003191,Line A,Pro,LineA-PRO-00941,2026-04-01,FALSE,
D003365,Line A,Pro,LineA-PRO-01115,2026-04-01,FALSE,
D003846,Line A,Pro,LineA-PRO-01596,2026-04-01,FALSE,
D003966,Line A,Pro,LineA-PRO-01716,2026-04-01,FALSE,
D004052,Line A,Pro,LineA-PRO-01802,2026-04-01,FALSE,
D004084,Line A,Pro,LineA-PRO-01834,2026-04-01,FALSE,
D004217,Line A,Pro,LineA-PRO-01967,2026-04-01,FALSE,
D004421,Line A,Pro,LineA-PRO-02171,2026-04-01,FALSE,
D004533,Line A,Pro,LineA-PRO-02283,2026-04-01,FALSE,
D004636,Line A,Pro,LineA-PRO-02386,2026-04-01,FALSE,
D004802,Line A,Pro,LineA-PRO-02552,2026-04-01,FALSE,
D004808,Line A,Pro,LineA-PRO-02558,2026-04-01,FALSE,
D004855,Line A,Pro,LineA-PRO-02605,2026-04-01,FALSE,
D004858,Line A,Pro,LineA-PRO-02608,2026-04-01,FALSE,
D004909,Line A,Pro,LineA-PRO-02659,2026-04-01,FALSE,
D004949,Line A,Pro,LineA-PRO-02699,2026-04-01,FALSE,
D004971,Line A,Pro,LineA-PRO-02721,2026-04-01,FALSE,
