line,date,product_variant,planned_units
Line A,2026-04-01,Standard,47
Line B,2026-04-01,Standard,45
Line A,2026-04-02,Standard,49
Line B,2026-04-02,Standard,43
Line A,2026-04-03,Pro,35
Line B,2026-04-03,Standard,45
Line A,2026-04-04,Pro,33
Line B,2026-04-04,Standard,49
Line A,2026-04-05,Pro,32
Line B,2026-04-05,Standard,44
Line A,2026-04-06,Standard,45
Line B,2026-04-06,Standard,43
Line A,2026-04-07,Pro,30
Line B,2026-04-07,Pro,33
Line A,2026-04-08,Pro,31
Line B,2026-04-08,Pro,28
Line A,2026-04-09,Pro,29
Line B,2026-04-09,Standard,43
Line A,2026-04-10,Pro,32
Line B,2026-04-10,Standard,42
Line A,2026-04-11,Standard,50
Line B,2026-04-11,Standard,51
Line A,2026-04-12,Pro,35
Line B,2026-04-12,Standard,44
Line A,2026-04-13,Pro,33
Line B,2026-04-13,Standard,50
Line A,2026-04-14,Pro,35
Line B,2026-04-14,Pro,29
Line A,2026-04-15,Pro,32
Line B,2026-04-15,Standard,47
Line A,2026-04-16,Pro,29
Line B,2026-04-16,Standard,51
Line A,2026-04-17,Standard,43
Line B,2026-04-17,Pro,28
Line A,2026-04-18,Standard,50
Line B,2026-04-18,Standard,43
Line A,2026-04-19,Pro,34
Line B,2026-04-19,Standard,45
Line A,2026-04-20,Pro,30
Line B,2026-04-20,Standard,51
Line A,2026-04-21,Standard,47
Line B,2026-04-21,Standard,48
Line A,2026-04-22,Standard,44
Line B,2026-04-22,Standard,44
Line A,2026-04-23,Standard,49
Line B,2026-04-23,Standard,52
Line A,2026-04-24,Pro,34
Line B,2026-04-24,Standard,46
Line A,2026-04-25,Standard,42
Line B,2026-04-25,Standard,47
Line A,2026-04-26,Standard,52
Line B,2026-04-26,Standard,51
Line A,2026-04-27,Pro,29
Line B,2026-04-27,Standard,47
Line A,2026-04-28,Pro,36
Line B,2026-04-28,Standard,49
Line A,2026-04-29,Pro,33
Line B,2026-04-29,Standard,43
Line A,2026-04-30,Standard,47
Line B,2026-04-30,Standard,43
Line A,2026-05-01,Pro,33
Line B,2026-05-01,Standard,49
Line A,2026-05-02,Pro,35
Line B,2026-05-02,Standard,49
